Algorithm,Parameters,Validation_MMD
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0001)}",0.52007
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0007208333333333334)}",0.38423
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0013416666666666668)}",0.34577
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0019625)}",0.33327
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.0025833333333333333)}",0.32517
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.003204166666666667)}",0.31852
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.003825)}",0.31457
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.004445833333333334)}",0.31234
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.005066666666666667)}",0.31120
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.005687500000000001)}",0.31005
pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'dt': np.float64(0.006308333333333334)}",0.30923
